event_id,match_code,round,team_key,is_home,xg_raw,xg_weighted,xg_reduction_pct,n_shots,n_decided,xg_level,xg_d2,xg_d3plus
15525995,uOsbP,2,ceara,False,2.2408,2.2408,0.0,14,0,2.2408,0.0,0.0
15525996,JRpseau,2,sao-bernardo,True,0.9288,0.9288,0.0,16,0,0.9288,0.0,0.0
15525996,JRpseau,2,operario-pr,False,0.9473,0.9473,0.0,15,0,0.9473,0.0,0.0
15525997,yOsEO,2,america-mg,True,1.1887,1.1887,0.0,14,0,1.1887,0.0,0.0
15525997,yOsEO,2,botafogo-sp,False,1.1179,1.1179,0.0,13,0,1.1179,0.0,0.0
15525998,kOsxP,2,londrina,True,1.6219,1.6219,0.0,8,0,1.6219,0.0,0.0
15525998,kOsxP,2,goias,False,2.1928,2.1928,0.0,15,0,2.1928,0.0,0.0
15525999,vPscJu,2,fortaleza,True,0.5424,0.5424,0.0,15,0,0.5424,0.0,0.0
15525999,vPscJu,2,cuiaba,False,0.0607,0.0607,0.0,4,0,0.0607,0.0,0.0
15526000,lPsoWc,2,atletico-go,True,1.4689,1.4689,0.0,11,0,1.4689,0.0,0.0
15526000,lPsoWc,2,nautico,False,0.8164,0.8164,0.0,9,0,0.8164,0.0,0.0
15526001,JOsAfMc,2,criciuma,True,2.8125,2.8125,0.0,32,0,2.8125,0.0,0.0
15526001,JOsAfMc,2,athletic-club,False,1.015,1.015,0.0,7,0,1.015,0.0,0.0
15526002,jOswP,2,sport,True,0.6831,0.6831,0.0,10,0,0.6831,0.0,0.0
15526002,jOswP,2,vila-nova,False,1.6436,1.6436,0.0,16,0,1.6436,0.0,0.0
15526003,pWcsHPi,2,clube-de-regatas-brasil,True,1.5599,1.5599,0.0,27,0,1.5599,0.0,0.0
15526003,pWcsHPi,2,avai,False,0.5368,0.5368,0.0,15,0,0.5368,0.0,0.0
15526004,FOsokeb,2,juventude,True,0.6765,0.6765,0.0,13,0,0.6765,0.0,0.0
