season,competition_name,competition_round,match_id,team_name,team_key,is_home,possession,expected_goals,shots_total,shots_on_target,shots_on_target_pct,corners,fouls,passes_total,passes_accurate,passes_accuracy_pct,tackles_total,yellow_cards,red_cards,data_status,last_updated_at,transformed_at
2026,Copa do Nordeste,3,jOsOWEc,Sport Recife,sport,True,64.0,2.29,19.0,6.0,31.6,8.0,17.0,506.0,446.0,88.1,4.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674641Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,3,jOsOWEc,Retrô,retro,False,36.0,0.47,4.0,0.0,0.0,0.0,20.0,256.0,211.0,82.4,0.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674641Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,4,jOspWc,Sport Recife,sport,True,59.0,3.24,21.0,10.0,47.6,7.0,8.0,414.0,343.0,82.9,19.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674659Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,4,jOspWc,Avaí,avai,False,41.0,1.79,16.0,4.0,25.0,8.0,16.0,291.0,221.0,75.9,8.0,7,0,advanced_stats_confirmed,2026-04-16T17:41:38.674659Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,4,jOsiMi,Sport Recife,sport,True,59.0,3.51,24.0,9.0,37.5,6.0,21.0,547.0,479.0,87.6,2.0,2,0,advanced_stats_confirmed,2026-04-16T17:41:38.674677Z,2026-04-29T13:40:07.204232Z
2026,Copa do Nordeste,4,jOsiMi,Maranhão AC,maranhao-ac,False,41.0,0.58,8.0,3.0,37.5,3.0,18.0,354.0,297.0,83.9,2.0,4,0,advanced_stats_confirmed,2026-04-16T17:41:38.674677Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,5,jOsyO,América Mineiro,america-mg,True,50,1.26,17.0,6.0,35.3,8,14,316.0,264.0,83.5,15,1,0,advanced_stats_confirmed,2026-04-22T15:27:26.785269Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,5,jOsyO,Sport Recife,sport,False,50,0.35,9.0,0.0,0.0,3,15,324.0,270.0,83.3,15,4,0,advanced_stats_confirmed,2026-04-22T15:27:26.785269Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,6,jOsokeb,Sport Recife,sport,True,56,1.5,10.0,5.0,50.0,3,13,402.0,338.0,84.1,9,4,0,advanced_stats_confirmed,2026-04-27T13:10:30.137549Z,2026-04-29T13:40:07.204232Z
2026,Brasileirão Série B,6,jOsokeb,Grêmio Novorizontino,novorizontino,False,44,0.65,10.0,4.0,40.0,5,21,302.0,239.0,79.1,6,5,0,advanced_stats_confirmed,2026-04-27T13:10:30.137549Z,2026-04-29T13:40:07.204232Z
