season,competition,round,event_id,match_code,match_label,home_team,away_team,goal_incident_id,scorer_name,goal_minute,goal_added_time,home_score_after,away_score_after,sequence_order,player_name,player_id,player_position,action_type,is_assist,from_x,from_y,to_x,to_y,is_home,transformed_at
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,3,Vitinho,2125637,M,save,False,87.4,26.7,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,3,15526008,jOsxP,Londrina x Sport Recife,Londrina,Sport Recife,343662632,Bruno Santos,22,,1,0,4,Bruno Santos,1105781,F,goal,False,96.7,57.5,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381660,Sorriso,90,6.0,2,2,1,Zé Ricardo,840132,M,pass,True,56.1,68.9,13.8,37.0,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381660,Sorriso,90,6.0,2,2,2,Sorriso,1897879,M,goal,False,5.8,40.1,,,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381519,Carlos De Pena,89,,2,1,1,Marlon,965796,M,cross,True,89.7,10.9,90.8,50.7,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344381519,Carlos De Pena,89,,2,1,2,Carlos De Pena,311394,M,goal,False,90.8,50.7,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344380635,Chrystian Barletta,45,9.0,1,1,1,Chrystian Barletta,1035765,M,goal,False,88.5,50.0,,,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,4,15526022,jOspWc,Sport Recife x Avaí,Sport Recife,Avaí,344379671,Luiz Henrique,19,,0,1,1,Luiz Henrique,1015283,M,goal,False,11.5,50.0,,,False,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,6,15526043,jOsokeb,Sport Recife x Grêmio Novorizontino,Sport Recife,Grêmio Novorizontino,346092921,Perotti,52,,1,0,1,Zé Lucas,2040561,M,pass,False,19.5,51.0,29.2,61.1,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,6,15526043,jOsokeb,Sport Recife x Grêmio Novorizontino,Sport Recife,Grêmio Novorizontino,346092921,Perotti,52,,1,0,2,Carlos De Pena,311394,M,ball-movement,False,29.2,61.1,77.4,55.7,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,6,15526043,jOsokeb,Sport Recife x Grêmio Novorizontino,Sport Recife,Grêmio Novorizontino,346092921,Perotti,52,,1,0,3,Carlos De Pena,311394,M,pass,True,57.1,50.0,77.4,55.7,True,2026-06-02T14:46:54.005019Z
2026,Brasileirão Série B,6,15526043,jOsokeb,Sport Recife x Grêmio Novorizontino,Sport Recife,Grêmio Novorizontino,346092921,Perotti,52,,1,0,4,Perotti,840076,F,goal,False,88.5,57.7,,,True,2026-06-02T14:46:54.005019Z
